Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1735686000000,2024-12-31 23:00:00,1INCHBTC,4.09e-06,4.1e-06,4.09e-06,4.09e-06,3189.5,0.01305704,10
1735682400000,2024-12-31 22:00:00,1INCHBTC,4.09e-06,4.09e-06,4.08e-06,4.09e-06,5949.3,0.02430018,17
1735678800000,2024-12-31 21:00:00,1INCHBTC,4.12e-06,4.13e-06,4.1e-06,4.1e-06,6111.6,0.02518602,11
1735675200000,2024-12-31 20:00:00,1INCHBTC,4.11e-06,4.12e-06,4.1e-06,4.12e-06,1142.9,0.00469675,7
1735671600000,2024-12-31 19:00:00,1INCHBTC,4.1e-06,4.11e-06,4.09e-06,4.11e-06,1123.7,0.00461038,9
1735668000000,2024-12-31 18:00:00,1INCHBTC,4.11e-06,4.12e-06,4.11e-06,4.12e-06,866.6,0.0035633,5
1735664400000,2024-12-31 17:00:00,1INCHBTC,4.15e-06,4.15e-06,4.11e-06,4.11e-06,4147.8,0.01713228,17
1735660800000,2024-12-31 16:00:00,1INCHBTC,4.15e-06,4.15e-06,4.12e-06,4.14e-06,2024.0,0.00836195,10
1735657200000,2024-12-31 15:00:00,1INCHBTC,4.14e-06,4.14e-06,4.13e-06,4.14e-06,543.9,0.00224931,3
1735653600000,2024-12-31 14:00:00,1INCHBTC,4.15e-06,4.16e-06,4.14e-06,4.14e-06,2474.6,0.01026496,7
1735650000000,2024-12-31 13:00:00,1INCHBTC,4.12e-06,4.15e-06,4.12e-06,4.15e-06,15479.9,0.06398305,69
1735646400000,2024-12-31 12:00:00,1INCHBTC,4.14e-06,4.14e-06,4.13e-06,4.13e-06,563.0,0.00232954,3
1735642800000,2024-12-31 11:00:00,1INCHBTC,4.15e-06,4.15e-06,4.14e-06,4.14e-06,4929.3,0.02041531,8
1735639200000,2024-12-31 10:00:00,1INCHBTC,4.16e-06,4.16e-06,4.14e-06,4.15e-06,3798.7,0.0157735,19
1735635600000,2024-12-31 09:00:00,1INCHBTC,4.13e-06,4.17e-06,4.13e-06,4.16e-06,2538.3,0.01056241,19
1735632000000,2024-12-31 08:00:00,1INCHBTC,4.15e-06,4.16e-06,4.14e-06,4.14e-06,10010.7,0.04154665,22
1735628400000,2024-12-31 07:00:00,1INCHBTC,4.15e-06,4.15e-06,4.14e-06,4.14e-06,2735.1,0.01134147,8
1735624800000,2024-12-31 06:00:00,1INCHBTC,4.15e-06,4.16e-06,4.14e-06,4.14e-06,1063.5,0.00441378,8
1735621200000,2024-12-31 05:00:00,1INCHBTC,4.13e-06,4.15e-06,4.13e-06,4.14e-06,5265.1,0.02175242,9
1735617600000,2024-12-31 04:00:00,1INCHBTC,4.14e-06,4.16e-06,4.13e-06,4.13e-06,3281.1,0.01360647,16
